Player Name,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Grenade Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammate / Round,Saved Teammates / Round,Rating 2.0
donk,3593,60.0%,2632,1.37,95.8,3.6,179,3917,0.92,0.20,0.67,0.11,0.16,1.38
m0NESY,2913,41.2%,2155,1.35,81.1,3.0,164,3637,0.80,0.13,0.59,0.10,0.12,1.27
XANTARES,2848,51.0%,2422,1.18,87.4,7.5,167,3765,0.76,0.24,0.64,0.10,0.12,1.24
malbsMd,3575,64.5%,3104,1.15,86.4,5.8,212,4509,0.79,0.21,0.69,0.11,0.11,1.24
smooya,2880,31.0%,2254,1.28,78.7,3.0,160,3663,0.79,0.14,0.62,0.10,0.13,1.22
w0nderful,4240,37.2%,3163,1.34,77.3,3.6,232,5442,0.78,0.12,0.58,0.09,0.14,1.22
dav1deuS,5004,54.1%,4325,1.16,85.7,4.4,292,6486,0.77,0.21,0.67,0.10,0.11,1.21
deko,4933,41.8%,3821,1.29,78.9,4.5,295,6394,0.77,0.16,0.60,0.09,0.11,1.21
nilo,5025,56.5%,4196,1.20,83.1,3.7,287,6362,0.79,0.19,0.66,0.10,0.13,1.20
EliGE,2747,53.8%,2389,1.15,85.5,4.8,159,3552,0.77,0.21,0.67,0.11,0.13,1.20
slaxz-,4407,32.7%,3343,1.32,73.8,3.8,262,5917,0.74,0.12,0.56,0.09,0.10,1.20
Lucaozy,4496,51.2%,3823,1.18,83.2,5.0,270,5928,0.76,0.20,0.64,0.09,0.10,1.20
insani,4479,56.3%,3882,1.15,83.2,4.8,265,5911,0.76,0.19,0.66,0.11,0.11,1.20
npl,5419,56.0%,4814,1.13,83.5,4.3,322,7167,0.76,0.22,0.67,0.12,0.13,1.20
NAF,2666,48.6%,2195,1.21,81.0,7.1,162,3661,0.73,0.21,0.60,0.10,0.11,1.19
HexT,3921,52.7%,3361,1.17,80.0,5.1,249,5313,0.74,0.19,0.63,0.12,0.13,1.19
junior,3881,31.4%,2976,1.30,74.8,3.4,241,5230,0.74,0.13,0.57,0.08,0.10,1.19
ADDICT,2600,57.3%,2201,1.18,80.0,6.1,163,3476,0.75,0.19,0.63,0.11,0.14,1.19
dea,2927,39.5%,2513,1.16,79.9,4.8,176,3893,0.75,0.19,0.65,0.11,0.12,1.18
