summonerName,championId,role,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,totalMinionsKilled,win,dragons,barons,turretsKilled
GirlyisTeepee,92,TOP,3,4,6,10389,14614,8007,128,True,3.0,1.0,4.0
T1 VIPERGUMAYUZI,887,JUNGLE,7,2,4,15836,25959,10231,23,True,3.0,1.0,4.0
PridefulQueen,99,MIDDLE,4,3,5,13491,7868,9888,173,True,3.0,1.0,4.0
Chef He3ShOt,429,BOTTOM,5,3,4,10130,10854,9279,154,True,3.0,1.0,4.0
,111,UTILITY,2,2,8,6134,11613,5831,20,True,3.0,1.0,4.0
Boa Hancock,6,TOP,2,5,0,6518,15539,8577,144,False,0.0,0.0,1.0
I LOVE SHALLTEAR,233,JUNGLE,5,6,5,13993,22366,8008,16,False,0.0,0.0,1.0
XiaoTaoQi,268,MIDDLE,5,4,4,12167,11936,8115,149,False,0.0,0.0,1.0
only mem0ries,202,BOTTOM,1,3,0,4523,6764,6647,160,False,0.0,0.0,1.0
8form Chopper,26,UTILITY,0,3,10,3472,13046,5142,16,False,0.0,0.0,1.0
GirlyisTeepee,92,TOP,10,6,8,33553,38294,18750,277,True,2.0,2.0,7.0
I LOVE SHALLTEAR,233,JUNGLE,11,10,19,35499,62917,17031,73,True,2.0,2.0,7.0
HerKosmos,157,MIDDLE,15,7,10,47375,39450,19226,270,True,2.0,2.0,7.0
PridefulQueen,99,BOTTOM,10,5,19,49549,20945,17606,241,True,2.0,2.0,7.0
Ri Sails,267,UTILITY,3,3,33,14837,19352,11800,28,True,2.0,2.0,7.0
Boa Hancock,6,TOP,6,12,5,30154,45853,16979,273,False,3.0,0.0,7.0
Soddy,64,JUNGLE,10,12,11,30338,56788,14355,20,False,3.0,0.0,7.0
XiaoTaoQi,268,MIDDLE,6,7,10,39434,35576,15071,274,False,3.0,0.0,7.0
only mem0ries,81,BOTTOM,8,9,5,30733,33066,14546,229,False,3.0,0.0,7.0
EIMAI KOTOPOULO,40,UTILITY,1,9,20,7766,31549,9066,13,False,3.0,0.0,7.0
źabollo,223,TOP,7,1,6,25024,37972,11616,163,True,3.0,1.0,10.0
I LOVE SHALLTEAR,121,JUNGLE,16,5,6,24834,32335,13743,7,True,3.0,1.0,10.0
Aís,517,MIDDLE,11,3,9,24386,29042,13451,177,True,3.0,1.0,10.0
tempnjkbfgijvffo,81,BOTTOM,2,5,2,12026,16081,9602,213,True,3.0,1.0,10.0
Maya MD,40,UTILITY,1,5,15,3666,15546,7366,28,True,3.0,1.0,10.0
EH Kakaobab,82,TOP,1,8,1,23529,27536,7447,150,False,1.0,0.0,2.0
LncL,166,MIDDLE,5,10,3,23200,23812,9309,153,False,1.0,0.0,2.0
PotężnyFilipek,96,BOTTOM,8,3,5,26299,18384,11894,216,False,1.0,0.0,2.0
Rcify,131,JUNGLE,5,12,7,18545,26003,9651,19,False,1.0,0.0,2.0
,117,UTILITY,0,4,13,6676,11635,6620,31,False,1.0,0.0,2.0
Prymo 2,246,TOP,3,6,4,12017,15380,9186,165,False,1.0,0.0,1.0
I LOVE SHALLTEAR,233,JUNGLE,3,9,12,12123,27242,8755,12,False,1.0,0.0,1.0
iLickBriarsFeet,55,MIDDLE,7,8,8,18736,20190,7962,80,False,1.0,0.0,1.0
WellHidden,21,BOTTOM,6,9,7,20067,19637,9861,137,False,1.0,0.0,1.0
Natrium,526,UTILITY,3,9,10,6030,17545,6987,25,False,1.0,0.0,1.0
Nicram,6,TOP,8,4,8,18506,20401,12545,176,True,1.0,1.0,9.0
greater good,107,JUNGLE,9,3,12,16745,29433,13283,35,True,1.0,1.0,9.0
,38,MIDDLE,5,3,7,12265,14697,10321,150,True,1.0,1.0,9.0
PowerToyZ,81,BOTTOM,10,7,14,19737,16768,10373,87,True,1.0,1.0,9.0
naizduP 997,432,UTILITY,9,5,19,11933,16785,10600,19,True,1.0,1.0,9.0
EIMAI KOTOPOULO,114,TOP,1,7,2,7004,12158,4889,95,False,0.0,0.0,0.0
I LOVE SHALLTEAR,233,JUNGLE,2,5,2,5258,18192,5666,7,False,0.0,0.0,0.0
LofiHiphopBeats,3,MIDDLE,1,6,4,6700,15103,4142,74,False,0.0,0.0,0.0
only mem0ries,145,BOTTOM,5,3,1,11271,8619,7007,120,False,0.0,0.0,0.0
Wøo Back Baby,526,UTILITY,0,6,6,2335,9623,3747,16,False,0.0,0.0,0.0
Δ Desperate,10,TOP,5,1,5,8939,6574,8287,136,True,2.0,0.0,2.0
Montez Ψ,59,JUNGLE,6,2,11,10130,13683,7045,6,True,2.0,0.0,2.0
Papa Topou,127,MIDDLE,8,2,8,12351,8254,7516,113,True,2.0,0.0,2.0
May2Bee,81,BOTTOM,5,1,10,14619,7218,6965,110,True,2.0,0.0,2.0
SAMICELASICE,44,UTILITY,3,3,15,4713,10265,5165,18,True,2.0,0.0,2.0
DisabIed Jungler,24,TOP,10,5,3,20502,25197,10117,142,False,0.0,0.0,2.0
,51,BOTTOM,7,5,3,13924,16809,8854,129,False,0.0,0.0,2.0
,91,MIDDLE,4,7,4,12340,18151,8154,140,False,0.0,0.0,2.0
Rageblade,11,JUNGLE,4,6,9,14477,30025,8523,8,False,0.0,0.0,2.0
